Year,Season, State, Total Annual Loss, Beekeepers, Beekeepers Exclusive to State, Colonies, Colonies Exclusive to State,,,,,,,
2016/17,Annual,New Hampshire,60.40%,49,93.90%,757,49.90%,,,,,,,
2016/17,Annual,Connecticut,61.80%,34,100.00%,427,100.00%,,,,,,,
2016/17,Annual,Arizona,65.00%,10,80.00%,528,24.40%,,,,,,,
2016/17,Annual,Iowa,68.60%,71,98.60%,1074,99.00%,,,,,,,
2016/17,Annual,Nebraska,72.10%,15,93.30%,355,83.30%,,,,,,,
2016/17,Annual,Delaware,74.00%,38,86.80%,462,84.20%,,,,,,,
2016/17,Annual,Oklahoma,83.90%,29,96.50%,9513,19.30%,,,,,,,
2015/16,Annual,Louisiana,14.70%,21,100.00%,695,100.00%,,,,,,,
2015/16,Annual,Vermont,15.50%,48,87.50%,2374,48.70%,,,,,,,
2015/16,Annual,Montana,18.90%,17,35.30%,46949,0.20%,,,,,,,
2015/16,Annual,Rhode Island,24.50%,19,84.20%,94,76.40%,,,,,,,
2015/16,Annual,Tennessee,27.40%,98,96.90%,1247,92.00%,,,,,,,
2015/16,Annual,Colorado,27.80%,130,96.90%,3396,19.20%,,,,,,,
2015/16,Annual,District of Columbia,28.40%,6,66.70%,127,11.90%,,,,,,,
2015/16,Annual,Alabama,28.40%,43,97.70%,538,96.40%,,,,,,,
2015/16,Annual,Washington,31.70%,118,93.20%,38574,2.80%,,,,,,,
2015/16,Annual,Missouri,33.20%,120,98.30%,993,97.20%,,,,,,,
2015/16,Annual,South Carolina,33.60%,97,96.90%,2510,29.80%,,,,,,,
2015/16,Annual,Kentucky,34.50%,71,98.60%,829,99.70%,,,,,,,
2015/16,Annual,New Hampshire,36.10%,48,89.60%,305,85.90%,,,,,,,
2015/16,Annual,Maine,36.60%,81,96.30%,54707,1.30%,,,,,,,
2015/16,Annual,North Carolina,38.00%,246,97.20%,10635,22.10%,,,,,,,
2015/16,Annual,Hawaii,38.20%,45,97.80%,3656,99.80%,,,,,,,
2015/16,Annual,Idaho,38.20%,45,62.20%,141902,1.20%,,,,,,,
2015/16,Annual,Wyoming,38.30%,26,69.20%,26403,1.90%,,,,,,,
2015/16,Annual,Oregon,38.60%,132,90.90%,42656,22.10%,,,,,,,
2015/16,Annual,Indiana,39.50%,152,98.70%,1707,98.50%,,,,,,,
2015/16,Annual,California,39.70%,182,63.20%,485133,6.30%,,,,,,,
2015/16,Annual,MultiStateOperation,39.80%,143,0.00%,506729,0.00%,,,,,,,
2015/16,Annual,Nebraska,40.00%,16,81.30%,42030,0.50%,,,,,,,
2015/16,Annual,Nevada,40.10%,5,80.00%,3029,0.60%,,,,,,,
2015/16,Annual,Arizona,40.50%,6,100.00%,37,100.00%,,,,,,,
2015/16,Annual,Georgia,41.40%,65,92.30%,3034,30.60%,,,,,,,
2015/16,Annual,Virginia,41.40%,553,97.80%,4163,87.20%,,,,,,,
2015/16,Annual,North Dakota,42.50%,26,11.50%,284204,0.00%,,,,,,,
2015/16,Annual,Ohio,43.10%,236,97.50%,2797,96.20%,,,,,,,
2015/16,Annual,South Dakota,44.20%,13,38.50%,92609,0.10%,,,,,,,
2015/16,Annual,Connecticut,44.40%,66,93.90%,865,96.30%,,,,,,,
2015/16,Annual,Texas,45.80%,95,80.00%,187895,1.30%,,,,,,,
2015/16,Annual,Michigan,46.00%,195,98.50%,6572,30.80%,,,,,,,
2015/16,Annual,Illinois,46.20%,127,96.80%,1318,97.40%,,,,,,,
2015/16,Annual,New York,46.70%,145,92.40%,39981,6.90%,,,,,,,
2015/16,Annual,Minnesota,49.30%,109,89.00%,53969,6.00%,,,,,,,
2015/16,Annual,West Virginia,49.80%,55,90.90%,1433,46.30%,,,,,,,
2015/16,Annual,Arkansas,50.50%,36,91.70%,2020,20.40%,,,,,,,
2015/16,Annual,Wisconsin,50.80%,121,95.00%,39422,19.20%,,,,,,,
2015/16,Annual,New Jersey,53.60%,112,90.20%,9220,11.20%,,,,,,,
2015/16,Annual,New Mexico,54.00%,17,88.20%,148,92.20%,,,,,,,
2015/16,Annual,Massachusetts,55.80%,113,95.60%,1304,96.80%,,,,,,,
2015/16,Annual,Maryland,56.10%,128,93.00%,30617,9.70%,,,,,,,
2015/16,Annual,Kansas,56.70%,32,96.90%,8737,12.80%,,,,,,,
2015/16,Annual,Florida,56.90%,58,89.70%,51627,18.50%,,,,,,,
2015/16,Annual,Pennsylvania,57.30%,599,98.30%,29963,19.20%,,,,,,,
2015/16,Annual,Oklahoma,57.80%,38,97.40%,7307,24.40%,,,,,,,
2015/16,Annual,Iowa,58.80%,48,95.80%,1256,64.00%,,,,,,,
2015/16,Annual,Utah,59.40%,38,86.80%,15873,2.80%,,,,,,,
2015/16,Annual,Delaware,60.20%,21,76.20%,25674,0.60%,,,,,,,
2015/16,Annual,Mississippi,71.30%,12,66.70%,22399,0.30%,,,,,,,
2015/16,Annual,Puerto Rico,,1,100.00%,1,100.00%,,,,,,,
2015/16,Annual,Alaska,,2,100.00%,7,100.00%,,,,,,,
2014/15,Annual,Hawaii,13.90%,28,100.00%,12093,100.00%,,,,,,,
2014/15,Annual,Oregon,25.20%,142,94.40%,44306,29.30%,,,,,,,
2014/15,Annual,South Carolina,26.20%,71,88.70%,2853,20.30%,,,,,,,
2014/15,Annual,Nevada,26.70%,7,71.40%,1853,1.90%,,,,,,,
2014/15,Annual,Idaho,27.60%,48,70.80%,94547,0.20%,,,,,,,
2014/15,Annual,Michigan,31.80%,210,98.10%,11192,92.90%,,,,,,,
2014/15,Annual,Wyoming,32.50%,11,63.60%,18200,0.20%,,,,,,,
2014/15,Annual,Utah,33.60%,41,82.90%,20822,1.10%,,,,,,,
2014/15,Annual,Vermont,34.10%,50,92.00%,731,72.20%,,,,,,,
2014/15,Annual,Missouri,34.80%,94,96.80%,1839,97.00%,,,,,,,
2014/15,Annual,Georgia,34.90%,74,86.50%,5923,27.40%,,,,,,,
2014/15,Annual,South Dakota,36.10%,15,46.70%,100410,0.00%,,,,,,,
2014/15,Annual,Tennessee,36.30%,73,95.90%,1691,74.10%,,,,,,,
2014/15,Annual,Nebraska,37.30%,12,75.00%,95755,0.10%,,,,,,,
2014/15,Annual,North Dakota,37.70%,30,6.70%,256234,0.00%,,,,,,,
2014/15,Annual,Colorado,38.00%,178,97.80%,84676,1.40%,,,,,,,
2014/15,Annual,California,38.20%,183,63.40%,423823,12.50%,,,,,,,
2014/15,Annual,Mississippi,38.70%,11,81.80%,20681,1.20%,,,,,,,
2014/15,Annual,Washington,39.30%,128,91.40%,148277,0.70%,,,,,,,
2014/15,Annual,New Hampshire,39.40%,42,92.90%,470,63.70%,,,,,,,
2014/15,Annual,Montana,40.10%,26,73.10%,37022,6.10%,,,,,,,
2014/15,Annual,North Carolina,41.60%,254,97.20%,2700,97.60%,,,,,,,
2014/15,Annual,Kansas,42.40%,39,97.40%,1246,85.10%,,,,,,,
2014/15,Annual,MultiStateOperation,42.50%,144,0.00%,423939,0.00%,,,,,,,
2014/15,Annual,Louisiana,44.30%,18,83.30%,4335,12.20%,,,,,,,
2014/15,Annual,Virginia,46.10%,590,98.50%,4645,98.10%,,,,,,,
2014/15,Annual,Massachusetts,46.10%,150,98.00%,1479,78.00%,,,,,,,
2014/15,Annual,New Mexico,46.10%,21,95.20%,2037,5.40%,,,,,,,
2014/15,Annual,Texas,46.30%,139,85.60%,183028,3.20%,,,,,,,
2014/15,Annual,Rhode Island,47.90%,22,72.70%,401,36.80%,,,,,,,
2014/15,Annual,Kentucky,47.90%,59,98.30%,804,74.80%,,,,,,,
2014/15,Annual,Alabama,48.00%,28,96.40%,504,98.50%,,,,,,,
2014/15,Annual,New Jersey,48.20%,93,95.70%,853,84.80%,,,,,,,
2014/15,Annual,Arkansas,48.30%,96,93.80%,3428,75.90%,,,,,,,
2014/15,Annual,Indiana,48.50%,92,96.70%,781,96.80%,,,,,,,
2014/15,Annual,Minnesota,50.60%,77,80.50%,137066,0.40%,,,,,,,
2014/15,Annual,New York,54.20%,146,93.80%,55882,8.80%,,,,,,,
2014/15,Annual,Florida,55.30%,93,86.00%,61246,8.00%,,,,,,,
2014/15,Annual,Connecticut,57.30%,56,94.60%,646,65.90%,,,,,,,
2014/15,Annual,Arizona,58.80%,9,88.90%,1156,62.30%,,,,,,,
2014/15,Annual,Ohio,59.10%,270,97.40%,3856,71.20%,,,,,,,
2014/15,Annual,Wisconsin,60.20%,124,92.70%,51505,7.90%,,,,,,,
2014/15,Annual,Maine,60.50%,103,96.10%,46971,2.30%,,,,,,,
2014/15,Annual,West Virginia,60.90%,47,87.20%,751,40.00%,,,,,,,
2014/15,Annual,Maryland,60.90%,126,94.40%,24579,4.80%,,,,,,,
2014/15,Annual,Delaware,61.00%,16,62.50%,46466,0.20%,,,,,,,
2014/15,Annual,Pennsylvania,61.10%,674,98.70%,53106,15.50%,,,,,,,
2014/15,Annual,Iowa,61.40%,36,94.40%,1206,63.10%,,,,,,,
2014/15,Annual,Illinois,62.40%,102,97.10%,1317,56.90%,,,,,,,
2014/15,Annual,Oklahoma,63.40%,36,88.90%,18277,3.00%,,,,,,,
2014/15,Annual,District of Columbia,,3,66.70%,360,7.30%,,,,,,,
2014/15,Annual,Alaska,,2,100.00%,11,100.00%,,,,,,,
2013/14,Annual,Wyoming,20.10%,10,40.00%,22954,0.10%,,,,,,,
2013/14,Annual,Montana,21.60%,23,69.60%,33093,0.20%,,,,,,,
2013/14,Annual,Hawaii,24.90%,67,98.50%,16970,53.40%,,,,,,,
2013/14,Annual,Massachusetts,25.70%,145,95.20%,9387,18.10%,,,,,,,
2013/14,Annual,Nebraska,26.50%,11,72.70%,88509,0.10%,,,,,,,
2013/14,Annual,Colorado,27.10%,174,97.70%,77674,1.40%,,,,,,,
2013/14,Annual,North Carolina,27.70%,241,93.80%,81356,3.40%,,,,,,,
2013/14,Annual,Idaho,27.80%,34,55.90%,113406,7.40%,,,,,,,
2013/14,Annual,Utah,28.60%,51,82.30%,9228,3.90%,,,,,,,
2013/14,Annual,Arkansas,29.40%,56,92.90%,10852,6.00%,,,,,,,
2013/14,Annual,Minnesota,30.10%,93,86.00%,121915,1.80%,,,,,,,
2013/14,Annual,Louisiana,30.30%,20,95.00%,11549,29.20%,,,,,,,
2013/14,Annual,South Dakota,30.40%,14,50.00%,95243,0.00%,,,,,,,
2013/14,Annual,California,31.70%,253,65.60%,450107,4.30%,,,,,,,
2013/14,Annual,Oregon,32.50%,173,91.90%,51415,1.60%,,,,,,,
2013/14,Annual,New Mexico,32.50%,18,100.00%,123,100.00%,,,,,,,
2013/14,Annual,MultiStateOperation,33.60%,186,0.00%,499421,0.00%,,,,,,,
2013/14,Annual,Wisconsin,33.90%,136,86.00%,58053,3.40%,,,,,,,
2013/14,Annual,South Carolina,34.50%,140,96.40%,3122,48.70%,,,,,,,
2013/14,Annual,Nevada,35.10%,12,75.00%,717,8.30%,,,,,,,
2013/14,Annual,Washington,35.40%,119,89.10%,70806,1.60%,,,,,,,
2013/14,Annual,Texas,35.70%,78,75.60%,187311,2.30%,,,,,,,
2013/14,Annual,Florida,36.00%,150,80.70%,83120,6.50%,,,,,,,
2013/14,Annual,North Dakota,37.40%,26,3.90%,194926,0.00%,,,,,,,
2013/14,Annual,Rhode Island,37.40%,22,72.70%,214,52.90%,,,,,,,
2013/14,Annual,Mississippi,37.90%,23,65.20%,134891,0.20%,,,,,,,
2013/14,Annual,New Jersey,39.80%,165,96.40%,27002,5.10%,,,,,,,
2013/14,Annual,Indiana,40.90%,174,96.00%,4712,42.30%,,,,,,,
2013/14,Annual,Maine,41.20%,140,95.70%,44447,2.30%,,,,,,,
2013/14,Annual,Tennessee,41.40%,91,94.50%,1808,54.40%,,,,,,,
2013/14,Annual,Missouri,41.50%,78,98.70%,1396,89.20%,,,,,,,
2013/14,Annual,Michigan,41.70%,332,96.40%,31420,12.60%,,,,,,,
2013/14,Annual,Virginia,42.40%,637,98.10%,27303,23.50%,,,,,,,
2013/14,Annual,Oklahoma,42.60%,26,96.20%,9024,2.50%,,,,,,,
2013/14,Annual,Delaware,42.90%,21,76.20%,21140,0.50%,,,,,,,
2013/14,Annual,Maryland,43.80%,148,91.90%,23241,8.10%,,,,,,,
2013/14,Annual,Alabama,44.30%,33,93.90%,1083,38.60%,,,,,,,
2013/14,Annual,Georgia,44.50%,92,87.00%,19468,12.00%,,,,,,,
2013/14,Annual,West Virginia,44.80%,65,90.80%,1178,63.40%,,,,,,,
2013/14,Annual,Kentucky,44.90%,94,95.70%,1537,74.30%,,,,,,,
2013/14,Annual,New York,45.60%,162,93.80%,36335,10.30%,,,,,,,
2013/14,Annual,Pennsylvania,45.80%,828,98.00%,38599,20.70%,,,,,,,
2013/14,Annual,Ohio,45.80%,407,97.50%,24858,13.30%,,,,,,,
2013/14,Annual,Arizona,48.50%,5,80.00%,458,97.00%,,,,,,,
2013/14,Annual,Kansas,50.10%,38,97.40%,627,74.00%,,,,,,,
2013/14,Annual,Vermont,53.80%,82,95.10%,1996,98.20%,,,,,,,
2013/14,Annual,New Hampshire,60.40%,58,94.80%,318,88.60%,,,,,,,
2013/14,Annual,Illinois,63.10%,125,96.80%,2465,68.00%,,,,,,,
2013/14,Annual,Iowa,70.50%,55,96.40%,2006,88.50%,,,,,,,
2013/14,Annual,Connecticut,81.60%,65,90.80%,1531,18.20%,,,,,,,
2013/14,Annual,District of Columbia,85.70%,6,66.70%,377,14.60%,,,,,,,
2013/14,Annual,Alaska,,3,100.00%,15,100.00%,,,,,,,
2012/13,Annual,Hawaii,7.50%,41,97.60%,10027,93.70%,,,,,,,
2012/13,Annual,Arizona,21.40%,9,88.90%,2289,1.10%,,,,,,,
2012/13,Annual,South Carolina,25.90%,66,97.00%,4799,12.50%,,,,,,,
2012/13,Annual,Indiana,27.10%,108,96.30%,4087,26.80%,,,,,,,
2012/13,Annual,Arkansas,28.10%,37,97.30%,2381,96.20%,,,,,,,
2012/13,Annual,Illinois,28.90%,131,97.00%,5026,18.60%,,,,,,,
2012/13,Annual,Vermont,29.90%,39,89.70%,4189,45.00%,,,,,,,
2012/13,Annual,Montana,30.30%,25,60.00%,35214,0.20%,,,,,,,
2012/13,Annual,Missouri,33.40%,74,97.30%,1243,67.40%,,,,,,,
2012/13,Annual,Massachusetts,34.40%,151,97.30%,24961,3.50%,,,,,,,
2012/13,Annual,Iowa,35.00%,44,90.90%,6882,33.80%,,,,,,,
2012/13,Annual,Idaho,36.20%,30,50.00%,91535,1.80%,,,,,,,
2012/13,Annual,Oregon,36.30%,120,91.70%,23061,42.30%,,,,,,,
2012/13,Annual,New Hampshire,36.50%,57,100.00%,734,100.00%,,,,,,,
2012/13,Annual,Rhode Island,37.50%,15,73.30%,192,79.00%,,,,,,,
2012/13,Annual,Maine,39.90%,101,94.10%,81087,1.30%,,,,,,,
2012/13,Annual,New Jersey,39.90%,61,90.20%,47013,0.90%,,,,,,,
2012/13,Annual,Louisiana,41.20%,13,100.00%,835,100.00%,,,,,,,
2012/13,Annual,Michigan,41.50%,205,96.60%,39903,9.80%,,,,,,,
2012/13,Annual,New York,41.50%,176,91.50%,71614,7.30%,,,,,,,
2012/13,Annual,Kansas,41.60%,39,87.20%,2535,22.70%,,,,,,,
2012/13,Annual,Florida,42.00%,95,79.00%,84768,10.30%,,,,,,,
2012/13,Annual,North Dakota,42.20%,34,8.80%,289596,0.00%,,,,,,,
2012/13,Annual,Washington,43.40%,107,89.70%,79935,1.40%,,,,,,,
2012/13,Annual,Wisconsin,43.70%,127,92.90%,36124,13.60%,,,,,,,
2012/13,Annual,Kentucky,44.00%,46,93.50%,697,91.20%,,,,,,,
2012/13,Annual,California,45.80%,212,64.20%,625897,11.50%,,,,,,,
2012/13,Annual,Pennsylvania,45.90%,349,95.70%,46365,12.00%,,,,,,,
2012/13,Annual,Wyoming,46.40%,13,53.90%,19318,0.70%,,,,,,,
2012/13,Annual,MultiStateOperation,46.50%,156,0.00%,609111,0.00%,,,,,,,
2012/13,Annual,North Carolina,46.80%,275,96.70%,5812,67.00%,,,,,,,
2012/13,Annual,Ohio,47.30%,182,98.90%,24995,12.50%,,,,,,,
2012/13,Annual,Virginia,48.00%,467,97.60%,29167,18.50%,,,,,,,
2012/13,Annual,Delaware,48.20%,23,82.60%,24893,1.00%,,,,,,,
2012/13,Annual,Georgia,49.00%,70,85.70%,14700,9.10%,,,,,,,
2012/13,Annual,Maryland,49.40%,181,95.00%,26722,7.00%,,,,,,,
2012/13,Annual,Utah,50.20%,45,84.40%,15720,3.00%,,,,,,,
2012/13,Annual,Texas,50.80%,53,75.50%,112502,0.60%,,,,,,,
2012/13,Annual,Colorado,51.30%,165,97.60%,1414,82.50%,,,,,,,
2012/13,Annual,Tennessee,51.40%,55,90.90%,1357,56.60%,,,,,,,
2012/13,Annual,Alabama,55.10%,36,94.40%,777,63.70%,,,,,,,
2012/13,Annual,West Virginia,55.80%,60,93.30%,2736,19.10%,,,,,,,
2012/13,Annual,Minnesota,57.50%,74,83.80%,72320,21.40%,,,,,,,
2012/13,Annual,Connecticut,57.60%,57,91.20%,1101,68.30%,,,,,,,
2012/13,Annual,Mississippi,60.20%,26,80.80%,156746,0.70%,,,,,,,
2012/13,Annual,New Mexico,60.60%,9,88.90%,71,90.50%,,,,,,,
2012/13,Annual,Nebraska,62.20%,13,69.20%,127087,0.20%,,,,,,,
2012/13,Annual,South Dakota,63.30%,5,40.00%,127801,0.00%,,,,,,,
2012/13,Annual,Oklahoma,65.40%,29,93.10%,8366,8.80%,,,,,,,
2012/13,Annual,District of Columbia,73.50%,10,70.00%,509,8.70%,,,,,,,
2012/13,Annual,Nevada,,4,50.00%,2556,0.30%,,,,,,,
2012/13,Annual,Alaska,,2,100.00%,13,100.00%,,,,,,,
2011/12,Annual,Vermont,17.10%,45,91.10%,1599,19.00%,,,,,,,
2011/12,Annual,Rhode Island,18.60%,18,100.00%,86,100.00%,,,,,,,
2011/12,Annual,Montana,18.80%,15,66.70%,22359,6.30%,,,,,,,
2011/12,Annual,Indiana,19.40%,60,95.00%,2259,27.30%,,,,,,,
2011/12,Annual,Oregon,19.50%,76,89.50%,28552,14.80%,,,,,,,
2011/12,Annual,Hawaii,20.40%,18,100.00%,13728,100.00%,,,,,,,
2011/12,Annual,Michigan,22.10%,106,97.20%,9699,13.10%,,,,,,,
2011/12,Annual,Washington,22.90%,71,91.50%,44554,2.60%,,,,,,,
2011/12,Annual,Connecticut,24.40%,30,86.70%,394,44.00%,,,,,,,
2011/12,Annual,Idaho,24.70%,22,81.80%,7351,1.40%,,,,,,,
2011/12,Annual,New Jersey,25.50%,46,87.00%,847,83.70%,,,,,,,
2011/12,Annual,Nebraska,25.80%,6,83.30%,15531,0.10%,,,,,,,
2011/12,Annual,Virginia,26.50%,294,98.30%,2683,96.90%,,,,,,,
2011/12,Annual,Missouri,26.50%,54,96.30%,841,60.00%,,,,,,,
2011/12,Annual,Texas,26.50%,25,92.00%,16189,4.80%,,,,,,,
2011/12,Annual,Tennessee,26.70%,69,92.80%,1192,82.80%,,,,,,,
2011/12,Annual,Arizona,26.80%,7,71.40%,448,47.30%,,,,,,,
2011/12,Annual,Alabama,27.00%,25,96.00%,582,99.70%,,,,,,,
2011/12,Annual,North Dakota,27.70%,9,11.10%,49950,5.50%,,,,,,,
2011/12,Annual,California,28.40%,175,83.40%,163019,28.80%,,,,,,,
2011/12,Annual,South Carolina,28.40%,60,95.00%,1744,38.30%,,,,,,,
2011/12,Annual,Utah,30.20%,47,97.90%,5874,6.40%,,,,,,,
2011/12,Annual,MultiStateOperation,31.40%,83,0.00%,137431,0.00%,,,,,,,
2011/12,Annual,North Carolina,32.50%,248,97.60%,2510,95.90%,,,,,,,
2011/12,Annual,Nevada,32.90%,8,87.50%,1703,3.50%,,,,,,,
2011/12,Annual,Kansas,34.30%,14,85.70%,668,33.60%,,,,,,,
2011/12,Annual,New Hampshire,34.70%,33,87.90%,375,65.00%,,,,,,,
2011/12,Annual,Wisconsin,35.50%,71,95.80%,967,95.90%,,,,,,,
2011/12,Annual,Ohio,35.80%,138,97.10%,4590,55.50%,,,,,,,
2011/12,Annual,Oklahoma,36.50%,17,100.00%,156,100.00%,,,,,,,
2011/12,Annual,Minnesota,36.70%,30,96.70%,689,96.80%,,,,,,,
2011/12,Annual,Kentucky,36.90%,28,96.40%,869,97.20%,,,,,,,
2011/12,Annual,Maryland,37.30%,190,98.40%,1513,95.10%,,,,,,,
2011/12,Annual,New Mexico,37.60%,10,100.00%,218,100.00%,,,,,,,
2011/12,Annual,Arkansas,37.90%,21,95.20%,356,74.90%,,,,,,,
2011/12,Annual,Colorado,37.90%,67,98.50%,891,76.80%,,,,,,,
2011/12,Annual,Florida,41.80%,72,88.90%,49141,13.40%,,,,,,,
2011/12,Annual,West Virginia,42.70%,31,90.30%,555,51.70%,,,,,,,
2011/12,Annual,New York,43.80%,113,91.20%,11972,18.90%,,,,,,,
2011/12,Annual,Iowa,45.80%,24,95.80%,749,66.30%,,,,,,,
2011/12,Annual,Massachusetts,47.80%,121,95.00%,26013,3.20%,,,,,,,
2011/12,Annual,Pennsylvania,47.90%,376,95.70%,12633,42.70%,,,,,,,
2011/12,Annual,Maine,49.10%,73,94.50%,33389,3.00%,,,,,,,
2011/12,Annual,Louisiana,50.30%,14,100.00%,1830,100.00%,,,,,,,
2011/12,Annual,Georgia,50.40%,89,92.10%,12228,14.20%,,,,,,,
2011/12,Annual,Delaware,51.30%,19,89.50%,470,79.00%,,,,,,,
2011/12,Annual,Illinois,53.00%,50,98.00%,1018,76.90%,,,,,,,
2011/12,Annual,District of Columbia,85.30%,5,100.00%,1877,100.00%,,,,,,,
2011/12,Annual,South Dakota,,2,100.00%,41,100.00%,,,,,,,
2011/12,Annual,Mississippi,,4,100.00%,40,100.00%,,,,,,,
2011/12,Annual,Wyoming,,4,100.00%,4172,100.00%,,,,,,,
2011/12,Annual,Puerto Rico,,1,100.00%,15,100.00%,,,,,,,
2010/11,Annual,Hawaii,7.90%,31,100.00%,5287,100.00%,,,,,,,
2010/11,Annual,New Mexico,10.30%,9,100.00%,29,100.00%,,,,,,,
2010/11,Annual,Alabama,13.90%,21,90.50%,459,96.10%,,,,,,,
2010/11,Annual,Nebraska,18.30%,8,87.50%,11239,0.80%,,,,,,,
2010/11,Annual,Montana,19.60%,15,66.70%,20569,0.60%,,,,,,,
2010/11,Annual,Oregon,19.90%,75,92.00%,16311,2.20%,,,,,,,
2010/11,Annual,Washington,20.60%,69,89.90%,21210,2.30%,,,,,,,
2010/11,Annual,Idaho,20.60%,14,85.70%,11507,0.30%,,,,,,,
2010/11,Annual,Arizona,23.30%,7,71.40%,2001,0.90%,,,,,,,
2010/11,Annual,South Carolina,24.80%,42,88.10%,1174,25.60%,,,,,,,
2010/11,Annual,Vermont,25.70%,36,88.90%,1188,18.90%,,,,,,,
2010/11,Annual,Missouri,26.70%,76,97.40%,761,93.60%,,,,,,,
2010/11,Annual,Utah,27.10%,48,95.80%,2340,8.70%,,,,,,,
2010/11,Annual,North Dakota,27.50%,14,35.70%,56080,0.00%,,,,,,,
2010/11,Annual,New Jersey,28.60%,41,95.10%,297,99.40%,,,,,,,
2010/11,Annual,Arkansas,29.60%,15,86.70%,98,79.60%,,,,,,,
2010/11,Annual,Texas,30.20%,37,78.40%,44896,2.50%,,,,,,,
2010/11,Annual,Oklahoma,33.10%,16,75.00%,653,94.40%,,,,,,,
2010/11,Annual,Kentucky,33.50%,21,95.20%,430,98.50%,,,,,,,
2010/11,Annual,Indiana,33.80%,65,98.50%,6519,7.50%,,,,,,,
2010/11,Annual,Wisconsin,34.60%,54,92.60%,6987,14.00%,,,,,,,
2010/11,Annual,New Hampshire,35.60%,30,100.00%,466,100.00%,,,,,,,
2010/11,Annual,California,35.70%,144,79.90%,130488,11.90%,,,,,,,
2010/11,Annual,MultiStateOperation,36.20%,79,0.00%,120352,0.00%,,,,,,,
2010/11,Annual,Tennessee,36.40%,43,90.70%,415,80.20%,,,,,,,
